parent,child
top_main_body,end_machine_body
top_main_body,body_end
bottom_plate,right_side_fuselage
bottom_plate,rib_plate
bottom_plate,vertical_lift
bottom_plate,cargo_box
bottom_plate,support_leg
bottom_plate,bottom_box
bottom_plate,side_bottom
bottom_plate,top_frame
video_image,real_scene
video_image,video
video_image,object_recognition
video_image,image_recognition
video_image,display_hmd
video_image,tof_camera
pose_information,format
pose_information,information_processing
pose_information,biological_information
pose_information,location_information
pose_information,information_item
pose_information,spatial_information
pose_information,control_information_dci
pose_information,image_information
pose_information,route_information
pose_information,real_time_information
pose_information,usage_information
pose_information,flight_information
pose_information,identity_information
pose_information,feature_information
pose_information,characteristic_information
pose_information,text_information
coordinate_value,flight_path_planning
coordinate_value,elapsed_time
coordinate_value,dimensional_model
coordinate_value,detection_result
coordinate_value,spatial_position
coordinate_value,parameter_value
coordinate_value,preset_time_period
coordinate_value,plurality_point
web_page,medium_content_item
web_page,computer_executable_instruction
web_page,software_application
web_page,user_action
web_page,content_user
web_page,main_website_management
web_page,management_server
web_page,authentication_code
web_page,cache_memory
web_page,web_server
web_page,computer_readable_storage
signal_processing_unit,host_processor
signal_processing_unit,reception_unit
signal_processing_unit,data_processing_unit
signal_processing_unit,analog_signal
signal_processing_unit,execution_module
signal_processing_unit,input_terminal_output
obstacle_detection_sensor,hall_sensor
obstacle_detection_sensor,obstacle_detection
obstacle_detection_sensor,monitoring_early_warning
obstacle_detection_sensor,robot
obstacle_detection_sensor,gps_module
obstacle_detection_sensor,signal_input
power_supply_voltage,battery
power_supply_voltage,current_voltage
power_supply_voltage,main_power_supply
power_supply_voltage,electric
power_supply_voltage,power_supply
power_supply_voltage,sub_circuit
power_supply_voltage,power_converter
power_supply_voltage,power_grid
power_supply_voltage,readout_circuit
engine_motor,electric_generator
engine_motor,fuel_engine
engine_motor,machine
engine_motor,mode_operation
engine_motor,hydraulic_actuator
engine_motor,speed_ratio
engine_motor,electric_motor_drive
fly_control,flight_control
fly_control,control_law
fly_control,main_controller
fly_control,main_control_device
fly_control,ground_control_end
fly_control,remote_control_command
fly_control,master_control
fly_control,avoidance_control
fly_control,power_control
fly_control,predictive_control
fly_control,traffic_control
fly_control,automatic_control
fly_control,electric_control
fly_control,shift_control
ego_vehicle,unmanned_vehicle
ego_vehicle,automatic_driving_vehicle
ego_vehicle,aerial_vehicle_rack
ego_vehicle,collision_avoidance
ego_vehicle,vehicle_wheel
ego_vehicle,lane
ego_vehicle,motor_vehicle
ego_vehicle,inspection_vehicle
ego_vehicle,passenger
ego_vehicle,travel_path
ego_vehicle,travel_vehicle
ego_vehicle,air_vehicle
amphibious_unmanned_plane,flight
amphibious_unmanned_plane,landing_vtol_aircraft
amphibious_unmanned_plane,belong_technical_field
amphibious_unmanned_plane,belong_unmanned_plane
amphibious_unmanned_plane,security_safety
amphibious_unmanned_plane,horn_utility_model
electrical_conductor,ultrasound_transducer
electrical_conductor,electromagnetic_coil
electrical_conductor,transistor
electrical_conductor,cathode_electrode
electrical_conductor,array_element
electrical_conductor,ultrasonic_signal
electrical_conductor,dielectric
electrical_conductor,ground_line
electrical_conductor,conductive_pad
electrical_conductor,circuit_board_pcb
electrical_conductor,conductive
electrical_conductor,contact
substrate_layer,sea_surface
substrate_layer,thin_layer
substrate_layer,semiconductor_die
substrate_layer,tft_substrate
substrate_layer,drain_region
substrate_layer,transparent_conductive_film
porous_material,polymer_particle
porous_material,carbon_dioxide_emission
porous_material,black_odorous_water
porous_material,cold_water
porous_material,room_temperature
porous_material,average_particle_size
porous_material,thermoplastic_resin_composition
porous_material,bulk_material
structure_low_cost,production_efficiency
structure_low_cost,small_size
structure_low_cost,high_cost
structure_low_cost,simple_easy_use
structure_low_cost,low_manufacturing_cost
structure_low_cost,fin_structure
structure_low_cost,high_density
structure_low_cost,dwg_tbl
compound_pharmaceutical_composition,thereof_pharmaceutical_composition
compound_pharmaceutical_composition,active_agent
compound_pharmaceutical_composition,soybean_cultivar
compound_pharmaceutical_composition,amino_acid
compound_pharmaceutical_composition,alzheimer_disease
compound_pharmaceutical_composition,preparation_thereof
compound_pharmaceutical_composition,cell
light_ray,optical
light_ray,thermal_infrared_imager
light_ray,objective_lens
light_ray,ophthalmic_lens
light_ray,liquid_crystal_display
light_ray,laser_radiation
light_ray,peak_wavelength
light_ray,visible_light_transmission
light_ray,light_fixture
light_ray,diode
light_ray,diode_display
light_ray,color
light_ray,light_emission
light_ray,light_transmission
light_ray,blue_light
first_transmission,first_power_transmission
first_transmission,first_transmission_unit
first_transmission,first_transmission_path
first_frequency,first_radio_frequency
first_frequency,first_frequency_band
first_frequency,signal_second_frequency
first_frequency,signal_first_frequency
first_frequency,second_frequency
second_signal,first_control_signal
second_signal,first_sequence
second_signal,first_wireless_signal
second_signal,second_reference_signal
second_signal,second_audio_signal
second_output_shaft,second_bearing
second_output_shaft,second_input_shaft
second_output_shaft,second_gear
second_output_shaft,second_input
second_output_shaft,first_output_shaft
second_output_shaft,first_rotor
second_output_shaft,second_clutch
second_output_shaft,second_motor
first_second_control,second_operation
first_second_control,second_mode_operation
first_second_control,second_state
first_second_control,second_circuit
first_second_control,second_control
first_second_control,first_power
first_second_control,second_battery
first_tti,second_set
first_tti,second_step
first_tti,second_stage
first_tti,second_subframe
first_tti,first_phase
first_tti,second_parameter
first_tti,first_second_data
first_tti,second_processor
second_period,second_threshold_value
second_period,first_value
second_period,second_time_period
second_period,fourth_step
second_period,first_time
second_period,second_pressure
second_period,first_temperature
first_second_image,second_image
first_second_image,second_object
first_second_image,first_location
first_second_image,second_location
first_second_image,second_camera
first_second_image,second_position
first_second_image,first_area
first_second_image,second_distance
first_second_image,second_pixel
first_second_image,first_second_position
second_terminal,first_terminal_device
second_terminal,first_connection_part
second_terminal,first_terminal
second_terminal,second_base_station
second_terminal,first_connector
second_terminal,second_connection
second_device,third_device
second_device,second_electronic_device
second_device,first_external_device
second_device,first_device
second_device,second_mobile_device
second_communication,second_communication_channel
second_communication,first_communication
second_communication,second_communication_unit
second_communication,first_communication_path
second_communication,second_communication_link
second_communication,second_communication_module
second_network_node,first_network_element
second_network_node,second_network
second_network_node,first_node
second_network_node,second_node
second_network_node,claim_wherein
second_network_node,first_access_node
first_second_wireless,first_random_access
first_second_wireless,first_access_point
first_second_wireless,first_radio_access
first_second_wireless,second_radio
first_second_wireless,first_station
first_second_wireless,second_wireless
second_request,first_content
second_request,second_packet
second_request,second_server
second_request,second_user
second_request,first_data_packet
second_request,second_application
second_request,second_control_instruction
second_request,second_message
second_end_portion,second_portion
second_end_portion,body_first_end
second_end_portion,second_support
second_end_portion,first_connection_portion
second_end_portion,first_end_portion
second_end_portion,second_support_member
second_side_surface,first_side_plate
second_side_surface,second_side
second_side_surface,first_side_wall
second_side_surface,second_side_wall
second_side_surface,first_side_surface
second_side_surface,second_surface
second_side_surface,first_face
second_conductive_layer,second_metal_layer
second_conductive_layer,second_capacitor
second_conductive_layer,second_metal
second_conductive_layer,second_electrode
second_conductive_layer,second_transistor
second_conductive_layer,second_substrate
second_conductive_layer,second_layer
first_magnet,first_permanent_magnet
first_magnet,second_magnetic_layer
first_magnet,second_magnetic_field
first_magnet,first_coil
first_magnet,second_magnet
communication_network,network_communication
communication_network,device_communication_network
communication_network,first_communication_network
communication_network,network_communication_device
communication_network,cellular_communication_network
first_communication_link,second_communication_device
first_communication_link,first_communication_node
first_communication_link,first_communication_channel
first_communication_link,second_communication_protocol
first_communication_link,first_communication_interface
first_communication_link,communication_module
communication_iot_technology,generation_communication
communication_iot_technology,communication_disclosure
communication_iot_technology,external_equipment
communication_iot_technology,communication_therefor
communication_iot_technology,application_thereof
communication_iot_technology,communication_technology
pre_communication,aerial_vehicle_communication
pre_communication,way_communication
pre_communication,uplink_communication
pre_communication,visible_light_communication
pre_communication,kind_uav_communication
pre_communication,field_communication
pre_communication,full_duplex_communication
pre_communication,low_latency_communication
data_wireless_communication,short_range
data_wireless_communication,wireless_communication_disclosure
data_wireless_communication,node_wireless_communication
